ID,Name,CAS Number,Standard_Smiles,Type,Total weight /kg,Piece weight /mg,Content(%),Part,Family,Specie,Reference,DOI,ContentID,Scaffold_Smiles
TPCN02186,,'1309362-21-7',CC=C(C)C(=O)OC1C2C(OC(=O)CC(C)C)C(C)CC2(O)C(=O)C(C)(OC(C)=O)C2C3C(CC(OC(C)=O)C12COC(=O)c1cccnc1)C3(C)C,Diterpenoids,2.0,185.0,0.00925,Aerial parts,Lamiaceae,Euphorbia macroclada,"Fitoterapia 81, 884-890 (2010).",10.1016/j.fitote.2010.05.015,DP00005,O=C(OCC12CCC3CC3C1CC(=O)C1CCCC1C2)c1cccnc1
TPCN02187,"15,16-epoxy-2alpha-benzoyloxycleroda-3,13(16),14-trien-18-oic acid",'1282509-80-1',CC1CCC2(C)C(C(=O)O)=CC(OC(=O)c3ccccc3)CC2C1(C)CCc1ccoc1,Diterpenoids,0.5,44.0,0.0088,Leaves,Sapindaceae,Dodonaea polyandra,"J Nat Prod 74, 650-657 (2011).",10.1021/np100701s,DP00006,O=C(OC1C=CC2CCCC(CCc3ccoc3)C2C1)c1ccccc1
TPCN02188,Ballonigrinone,'62340-63-0',CC1=C(CCc2ccoc2)C2(C)CCC(=O)C3(C)C(=O)OC(C1=O)C23,Diterpenoids,0.8,70.0,0.00875,Aerial parts,Lamiaceae,Ballota undulata,"Magn Reson Chem 45, 899-901 (2007).",10.1002/mrc.2050,DP00007,O=C1C=C(CCc2ccoc2)C2CCC(=O)C3C(=O)OC1C23
TPCN02189,12epi-napelline,'110064-71-6',C=C1C2CC3(C1O)C1CC4C5(C)CCC(O)C4(C1N(CC)C5)C3CC2O,Diterpenoids,0.0574,5.0,0.008711,Aerial parts,Ranunculaceae,Aconitum napellus,"J Nat Prod 62, 701-704 (1999).",10.1021/np980442c,DP00010,C=C1CC23CC1CCC2C12CCCC4CNC1C3CC42
TPCN02190,Teotihuacanin,'1796568-88-1',CC1C(=O)CC2=C(C=CC=CC13CC(O)c1ccoc1C3O)C(=O)OC2,Diterpenoids,0.7,60.0,0.008571,Aerial parts,Lamiaceae,Salvia amarissima,"Org Lett 17, 3280-3282 (2015).",10.1021/acs.orglett.5b01320,DP00012,O=C1CC2=C(C=CC=CC3(CCc4ccoc4C3)C1)C(=O)OC2
TPCN02191,Curcusones A,'1588766-94-2',C=C(C)C1CCC(=C)C2C3=C(CC(C)C3=O)C(=O)C(C)=CC12,Diterpenoids,1.0,85.2,0.00852,Barks,Euphorbiaceae,Jatropha curcas,"Org Lett 13, 316-319 (2011).",10.1021/ol102802u,DP00013,C=C1CCCC2C=CC(=O)C3=C(C(=O)CC3)C12
TPCN02192,"3,4,5,6-Tetradehydropalicoside",'245041-38-7',C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)[O-])C1Cc1c2[nH]c3ccccc3c2cc[n+]1C,Diterpenoids,0.1,8.5,0.0085,Stems,Loganiaceae,Strychnos vanprukii,"Phytochemistry 64, 897-901 (2003).",10.1016/s0031-9422(03)00508-9,DP00014,C1=CC(Cc2[nH+]ccc3c2[nH]c2ccccc23)CC(OC2CCCCO2)O1
TPCN02193,3b-Hydroxyballotinone,'959464-71-2',CC1C(=O)C2OC(=O)C3(C)C(O)CCC(C)(C23)C1(O)CCc1ccoc1,Diterpenoids,0.8,68.0,0.0085,Aerial parts,Lamiaceae,Ballota undulata,"Magn Reson Chem 45, 899-901 (2007).",10.1002/mrc.2050,DP00015,O=C1OC2C(=O)CC(CCc3ccoc3)C3CCCC1C23
TPCN02194,Phlogacanthoside A,'830347-18-7',CC1=C2C(CC3=C(CCC4C(C)(COC5OC(CO)C(O)C(O)C5O)CCCC34C)C2O)OC1=O,Diterpenoids,6.5,550.0,0.008462,Roots,Acanthaceae,Phlogacanthus curviflorus,"J Nat Prod 68, 86-89 (2005).",10.1021/np0497999,DP00016,O=C1C=C2CC3=C(CC2O1)C1CCCC(COC2CCCCO2)C1CC3
TPCN02195,Atractyloside,'17754-44-8',C=C1C2CCC3C4(C)CC(OC5OC(CO)C(OS(=O)(=O)O)C(OS(=O)(=O)O)C5OC(=O)CC(C)C)CC(C(=O)O)C4CCC3(C2)C1O,Diterpenoids,0.99,82.0,0.008283,Aerial parts,Asteraceae,Iphiona aucheri,"Phytochemistry 37, 353-355 (1994).",10.1016/0031-9422(94)85060-7,DP00017,C=C1CC23CCC4CCC(OC5CCCCO5)CC4C2CCC1C3
TPCN02196,Anthriscifolcine D,'948308-31-4',CCN1CC2CCC(OC)C34C2C(OC(C)=O)C2(OCOC25CC(OC)C2CC3(O)C5C2OC)C14,Diterpenoids,4.0,330.0,0.00825,Whole plants,Ranunculaceae,Delphinium anthriscifolium,"Chem Pharm Bull (Tokyo) 55, 918-921 (2007).",10.1248/cpb.55.918,DP00018,C1CC2CNC3C4(C1)C2CC31OCOC12CCC1CC4C2C1
TPCN02197,Ducloudine C,'1636914-53-8',CCN1CC2(COC)C(=O)C=CC34C5CC6C(OC)CC(O)(C5C6O)C(C(OC)C23)C14,Diterpenoids,6.5,105.5,0.001623,Roots,Ranunculaceae,Aconitum duclouxii,"J Asian Nat Prod Res 16, 345-350 (2014).",10.1080/10286020.2014.881802,DP00019,O=C1C=CC23C4CC(C5CCC6CC5C2C6)C3NCC14
TPCN02198,Glaucaic acid,'1174522-04-3',CC(C)=CCCC(C)=CCCC(=CCCC(C)=CC(=O)O)C(=O)O,Diterpenoids,1.62,130.2,0.008037,Aerial parts,Myristicaceae,Knema glauca,"Arch Pharm Res 32, 685-692 (2009).",10.1007/s12272-009-1506-5,DP00021,
TPCN02199,Isotalatizidine,'7633-68-3',CCN1CC2(COC)CCC(O)C34C5CC6C(OC)CC(O)(C(CC23)C14)C5C6O,Diterpenoids,0.22,12.0,0.005455,Whole plants,Ranunculaceae,Aconitum anthora,Planta Med 2011; 77: 368–373,10.1055/s-0030-1250362,DP00022,C1CC2CNC3C4CC2C3(C1)C1CC2CCC4C1C2
TPCN02200,Talitine A,'110120-83-7',CCN1CC2(COC)CCC(OC)C34C2CC2(OCOC25CC(OC)C2CC3(O)C5(O)C2OC)C14,Diterpenoids,5.0,400.0,0.008,Aerial parts,Ranunculaceae,Delphinium caeruleum,"Chin J Nat Med 15, 45-48 (2017)",10.1016/S1875-5364(17)30007-9,DP00028,C1CC2CNC3C4(C1)C2CC31OCOC12CCC1CC4C2C1
TPCN02201,"15,16-epoxy-8alpha-(benzoyloxy)methylcleroda-3,13(16),14-trien-18-oic acid",'1282509-77-6',CC12CCC(COC(=O)c3ccccc3)C(C)(CCc3ccoc3)C1CCC=C2C(=O)O,Diterpenoids,0.5,40.0,0.008,Leaves,Sapindaceae,Dodonaea polyandra,"J Nat Prod 74, 650-657 (2011).",10.1021/np100701s,DP00029,O=C(OCC1CCC2C=CCCC2C1CCc1ccoc1)c1ccccc1
TPCN02202,15β-hydroxy-ent-kaur-16-en-19-oic acid,'6619-95-0',C=C1C2CCC3C4(C)CCCC(C)(C(=O)O)C4CCC3(C2)C1O,Diterpenoids,0.54,43.0,0.007963,Whole plants,Asteraceae,Pulicaria inuloides,"Nat Prod Res 30, 2468-2475 (2016).",10.1080/14786419.2016.1201671,DP00030,C=C1CC23CCC4CCCCC4C2CCC1C3
TPCN02203,Salvinorin C,'385785-99-9',COC(=O)C1=CC(OC(C)=O)C(OC(C)=O)C2C1(C)CCC1C(=O)OC(c3ccoc3)CC12C,Diterpenoids,0.49,38.5,0.007857,Leaves,Lamiaceae,Salvia divinorum,"Org Lett 3, 3935-3937 (2001).",10.1021/ol016820d,DP00031,O=C1OC(c2ccoc2)CC2C1CCC1C=CCCC12
TPCN02204,Trichodelphinines D,'1528739-09-4',C=C1CC23CC4C5C6(C)CC(OC(C)=O)CC57C(C2C(OC(C)=O)C1C(O)C37)N4C6,Diterpenoids,6.0,455.0,0.007583,Whole plants,Ranunculaceae,Delphinium trichophorum,"Phytochemistry 97, 88-95 (2014).",10.1016/j.phytochem.2013.10.011,DP00032,C=C1CC23CC4C5C6CCCC57C(C2CC1CC37)N4C6
