ID,Name,CAS Number,Standard_Smiles,Type,Total weight /kg,Piece weight /mg,Content(%),Part,Family,Specie,Reference,DOI,ContentID
TPCN02029,Forskoditerpenosides A,'942942-63-4',C=CC1(C)CC(=O)C2(O)C(C)(O1)C(O)C(OC(C)=O)C1C(C)(C)CCC(OC3OC(CO)C(O)C(O)C3O)C12C,Diterpenoids,110.0,15.0,1.4e-05,Whole plants,Lamiaceae,Coleus forskohlii,Chem Pharm Bull (Tokyo) 55(3): 376-381.(2007),10.1248/cpb.55.376,DP00001
TPCN02189,12-epi-napelline,'110064-71-6',C=C1C2CC3(C1O)C1CC4C5(C)CCC(O)C4(C1N(CC)C5)C3CC2O,Diterpenoids,5.8,5.0,8.6e-05,Whole plants,Ranunculaceae,Aconitum sinchiangense,"Nat Prod Res 32, 2319-2324 (2018).",10.1080/14786419.2017.1410814,DP00011
TPCN02199,Isotalatizidine,'7633-68-3',CCN1CC2(COC)CCC(O)C34C5CC6C(OC)CC(O)(C(CC23)C14)C5C6O,Diterpenoids,20.0,15.0,7.5e-05,Roots,Ranunculaceae,Aconitum nagarum,Planta Med 2005; 71: 1073±1076,10.1055/s-2005-873135,DP00025
TPCN02247,Songorine,'509-24-0',C=C1C2CC3(C1O)C1CC4C5(C)CCC(O)C4(C1N(CC)C5)C3CC2=O,Diterpenoids,5.8,4.3,7.4e-05,Whole plants,Ranunculaceae,Aconitum sinchiangense,"Nat Prod Res 32, 2319-2324 (2018).",10.1080/14786419.2017.1410814,DP00088
TPCN02267,Talatisamine,'20501-56-8',CCN1CC2(COC)CCC(OC)C34C5CC6C(OC)CC(O)(C(CC23)C14)C5C6O,Diterpenoids,6.5,5.5,8.5e-05,Roots,Ranunculaceae,Aconitum duclouxii,"Nat Prod Res 28, 1649-1654 (2014).",10.1080/14786419.2014.927463,DP00114
TPCN02327,Chasmanine,'5066-78-4',CCN1CC2(COC)CCC(OC)C34C5CC6C(OC)CC(O)(C5C6O)C(C(OC)C23)C14,Diterpenoids,6.5,1.0,1.5e-05,Roots,Ranunculaceae,Aconitum duclouxii,"Nat Prod Res 28, 1649-1654 (2014).",10.1080/14786419.2014.927463,DP00191
TPCN02328,Giraldine G,'740816-09-5',CCN1CC2(COC(=O)c3ccccc3NC(=O)C(C)CC(N)=O)CCC(OC)C34C5CC6C(OC)CC(O)(C5C6OC(=O)C(C)C)C(O)(C(OC)C23)C14,Diterpenoids,12.5,8.0,6.4e-05,Roots,Ranunculaceae,Delphinium giraldii,"Chem Pharm Bull (Tokyo) 52, 456-458 (2004).",10.1248/cpb.52.456,DP00193
TPCN02345,Benzoylaconine,'466-24-0',CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,Diterpenoids,50.0,5.2,1e-05,Roots,Ranunculaceae,Aconitum kusnezoffii,"Molecules 16, 3345-3350 (2011).",10.3390/molecules16043345,DP00213
TPCN02385,1-deacetyltinosposide A,'1253639-70-1',CC12CC(c3ccoc3)OC(=O)C1(O)CCC1C(OC3OC(CO)C(O)C(O)C3O)CC(O)C(O)C12,Diterpenoids,17.3,3.2,1.8e-05,Stems,Menispermaceae,Tinospora sinensis,"J Nat Prod 80, 975-982 (2017).",10.1021/acs.jnatprod.6b00976,DP00266
TPCN02421,Yuanhuagine,'99313-79-8',C=C(C)C12OC3(C=CC=CC=CCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(C)=O,Diterpenoids,9.3,6.0,6.5e-05,Buds,Thymelaeaceae,Daphne genkwa,"Nat Prod Res 29, 1878-1883 (2015).",10.1080/14786419.2015.1009459,DP00307
