ID,Name,CAS Number,Standard_Smiles,Type,Total weight /kg,Piece weight /mg,Content(%),Part,Family,Specie,Reference,DOI,ContentID,Scaffold_Smiles
TPCN02189,12-epi-napelline,'110064-71-6',C=C1C2CC3(C1O)C1CC4C5(C)CCC(O)C4(C1N(CC)C5)C3CC2O,Diterpenoids,20.0,4400.0,0.022,Roots,Ranunculaceae,Aconitum nagarum,Planta Med 2005; 71: 1073±1076,10.1055/s-2005-873135,DP00009,C=C1CC23CC1CCC2C12CCCC4CNC1C3CC42
TPCN02199,Isotalatizidine (3）,'7633-68-3',CCN1CC2(COC)CCC(O)C34C5CC6C(OC)CC(O)(C(CC23)C14)C5C6O,Diterpenoids,3.0,1200.0,0.04,Roots,Ranunculaceae,Aconitum vilmorinianum,Planta Med. 57(1991),10.1055/s-2006-960089,DP00027,C1CC2CNC3C4CC2C3(C1)C1CC2CCC4C1C2
TPCN02247,Songorine,'509-24-0',C=C1C2CC3(C1O)C1CC4C5(C)CCC(O)C4(C1N(CC)C5)C3CC2=O,Diterpenoids,20.0,10600.0,0.053,Roots,Ranunculaceae,Aconitum nagarum,Planta Med 2005; 71: 1073±1076,10.1055/s-2005-873135,DP00085,C=C1CC23CC1C(=O)CC2C12CCCC4CNC1C3CC42
TPCN02265,"2-hydroxyabieta-6,8,12-trien-1 1, 14-dione",'6855-99-8',CC(C)C1=C(O)C(=O)C2=C(C=CC3C(C)(C)CCCC23C)C1=O,Diterpenoids,3.0,900.0,0.03,Roots,Lamiaceae,Salvia moorcroftiana,Planta Medica 1984,10.1055/s-2007-969731,DP00112,O=C1C=CC(=O)C2=C1C=CC1CCCCC21
TPCN02267,Talatisamine (4）,'20501-56-8',CCN1CC2(COC)CCC(OC)C34C5CC6C(OC)CC(O)(C(CC23)C14)C5C6O,Diterpenoids,3.0,900.0,0.03,Roots,Ranunculaceae,Aconitum vilmorinianum,Planta Med. 57(1991),10.1055/s-2006-960089,DP00120,C1CC2CNC3C4CC2C3(C1)C1CC2CCC4C1C2
TPCN02362,Tatsiensine,'86695-18-3',CCN1CC2(C)C=CC(OC)C34C5CC6C(OC)CC7(OCOC7(C(OC(C)=O)C23)C14)C5C6OC,Diterpenoids,2.0,200.0,0.01,Whole plants,Ranunculaceae,Delphinium caeruleum,lanta Mcd. 59(1993),10.1055/s-2006-959611,DP00237,C1=CC2CNC3C4(C1)C2CC31OCOC12CCC1CC4C2C1
TPCN02366,Ent-kaur-16-en-19-oic acid,'6730-83-2',C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1C3,Diterpenoids,2.0,1850.0,0.0925,Barks,Araliaceae,Acanthopanax trifoliatus,Planta Med 2004; 70: 282±284,10.1055/s-2004-818926,DP00241,C=C1CC23CCC4CCCCC4C2CCC1C3
TPCN02469,Neoline,'466-26-2',CCN1CC2(COC)CCC(O)C34C5CC6C(OC)CC(O)(C5C6O)C(C(OC)C23)C14,Diterpenoids,20.0,3000.0,0.015,Roots,Ranunculaceae,Aconitum nagarum,Planta Med 2005; 71: 1073±1076,10.1055/s-2005-873135,DP00365,C1CC2CNC3C4CC2C3(C1)C1CC2CCC4C1C2
TPCN02489,Karacoline (5),'39089-30-0',CCN1CC2(C)CCC(O)C34C5CC6C(OC)CC(O)(C(CC23)C14)C5C6O,Diterpenoids,3.0,700.0,0.023333,Roots,Ranunculaceae,Aconitum vilmorinianum,Planta Med. 57(1991),10.1055/s-2006-960089,DP00389,C1CC2CNC3C4CC2C3(C1)C1CC2CCC4C1C2
TPCN03274,Ovatodiolide,'3484-37-5',C=C1C(=O)OC2C=C(C)CC3C=C(CCC=C(C)CCC12)C(=O)O3,Diterpenoids,18.0,3600.0,0.02,Aerial parts,Lamiaceae,Anisomeles indica,"Nat Prod Res, 1-9 (2019).",10.1080/14786419.2019.1586692,DP01231,C=C1C(=O)OC2C=CCC3C=C(CCC=CCCC12)C(=O)O3
TPCN03276,"Rel(2S,5R,6R,8S,9S,10R,18S,19R)-19-acetoxy-18,19-epoxy-6-hydroxy-18-butanoyloxy-2-(2-methylbutanoyloxy)cleroda-3,13(16), 14-triene",'664351-45-5',C=CC(=C)CCC1(C)C(C)CC(O)C23C(=CC(OC(=O)C(C)CC)CC12)C(OC(=O)CCC)OC3OC(C)=O,Diterpenoids,0.4,92.0,0.023,Barks,Salicaceae,Casearia sylvestris,Planta Med 2004; 70: 1093±1095,10.1055/s-2004-832655,DP01233,C1=C2COCC23CCCCC3CC1
TPCN03277,Flavaconitine,'83145-43-1',COCC12CCC(O)C34C(NC1)C(C(OC)C23)C1(OC(C)=O)C(O)C(OC)C2(O)CC4(O)C1C2OC(=O)c1ccccc1,Diterpenoids,20.0,4000.0,0.02,Roots,Ranunculaceae,Aconitum nagarum,Planta Med 2005; 71: 1073±1076,10.1055/s-2005-873135,DP01234,O=C(OC1C2CCC3C4CC5C6CCCC5(C(C2)C31)C4NC6)c1ccccc1
TPCN03278,Megathyrin B,'220832-60-0',C=C1C2CC(O)C3C45COC(O)(CC4C(C)(C)CCC5O)C3(C2)C1O,Diterpenoids,0.23,28.0,0.012174,Leaves,Lamiaceae,Isodon megathyrsus,Planta Med. 64 (1998,10.1055/s-2006-957567,DP01235,C=C1CC23CC1CCC2C12CCCCC1CC3OC2
TPCN03279,"11,12-dihydroxy-8,11,13-icetexatrien-1-one",'1242328-58-0',CC(C)c1cc2c(c(O)c1O)CC1C(=O)CCC(C)(C)C1CC2,Diterpenoids,3.0,320.0,0.010667,Aerial parts,Lamiaceae,Rosmarinus officinalis,Planta Med 2010; 76: 629–632,10.1055/s-0029-1240629,DP01236,O=C1CCCC2CCc3ccccc3CC12
