ID,Name,CAS Number,Standard_Smiles,Type,Total weight /kg,Piece weight /mg,Content(%),Part,Family,Specie,Reference,DOI,ContentID
TPCN00003,Kodemariosides B,'1222561-27-4',CC(C)=CC1OC(=O)C(=CCOC2OC(COC(=O)C=Cc3ccc(O)cc3)C(O)C(O)C2O)C1O,Monoterpenoids,0.0065,30.0,0.461538,Flowers,Rosaceae,Spiraea cantoniensis,"J Nat Prod, 2010, 73, 814-817.",10.1021/np900699e,MP00003
TPCN00004,Jasnudifloside A,'244230-20-4',CC=C1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC(=O)OCC1C(C)C(OC(=O)CC2C(C(=O)OC)=COC(OC3OC(CO)C(O)C(O)C3O)C2=CC)CC1C(C)CO,Monoterpenoids,0.146,555.9,0.380753,Leaves,Oleaceae,Jasminum nudiflorum,"Chem Pharm Bull (Tokyo), 2000, 48, 1200-1204.",10.1248/cpb.48.1200,MP00004
TPCN00005,Ferulagone,'460991-49-5',CC=C(C)C(=O)OC12CC(C(=O)C=C1C)C2(C)C,Monoterpenoids,0.00657,20.0,0.304414,Fruits,Apiaceae,Ferulago thirkeana,"Planta Med, 2002, 68, 564-567.",10.1055/s-2002-32557,MP00005
TPCN00006,Geniposide,'24512-63-8',COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C(CO)=CCC12,Monoterpenoids,3.0,8300.0,0.276667,Fruits,Rubiaceae,Gardenia jasminoides,"Chem Biodivers, 2012, 9, 1490-1499.",10.1002/cbdv.201200030,MP00006
TPCN00007,Kodemariosides C,'1222561-28-5',CC(C)=CC1OC(=O)C(=CCOC2OC(COC(=O)C=Cc3ccc(O)cc3)C(O)C(O)C2O)C1O,Monoterpenoids,0.0065,17.0,0.261538,Flowers,Rosaceae,Spiraea cantoniensis,"J Nat Prod, 2010, 73, 814-817.",10.1021/np900699e,MP00007
TPCN00008,6-O-methyl-N-deacetylipecosidic,'265096-92-2',C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)O)C1CC1NCCc2cc(OC)c(O)cc21,Monoterpenoids,0.173,408.7,0.236243,Leaves,Cornaceae,Alangium kurzii,"Chem Pharm Bull (Tokyo), 2000, 48, 415-419.",10.1248/cpb.48.415,MP00008
TPCN00009,"6,7-di-O-methyl-N-deacetylisoipecosidic acid",'342036-87-7',C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)O)C1CC1NCCc2cc(OC)c(OC)cc21,Monoterpenoids,4.5,9647.0,0.214378,Fruits,Cornaceae,Alangium lamarckii,"Phytochemistry, 2001, 56, 623-630.",10.1016/s0031-9422(00)00417-9,MP00009
TPCN00010,3''-O-glucosylsenburiside II,'864270-70-2',CC1C(OC(=O)c2cccc(OC(=O)c3cccc(OC4OC(CO)C(O)C(O)C4O)c3)c2)CC2C(C(=O)O)=COC(OC3OC(CO)C(O)C(O)C3O)C21,Monoterpenoids,0.145,282.7,0.194966,Whole plants,Rubiaceae,Ophiorrhiza liukiuensis,"Chem Pharm Bull (Tokyo), 2005, 53, 1355-1358.",10.1248/cpb.53.1355,MP00010
TPCN00011,Paeoniflorin,'23180-57-6',CC12CC3(O)OC(O1)C1(COC(=O)c4ccccc4)C3CC21OC1OC(CO)C(O)C(O)C1O,Monoterpenoids,2.0,3660.0,0.183,Roots,Paeoniaceae,Paeonia obovata,"Chem Pharm Bull (Tokyo), 2000, 48, 201-207.",10.1248/cpb.48.201,MP00016
TPCN00012,Cruciaside A,'564486-18-6',Cc1cc(OC2OC(CO)C(O)C(O)C2O)c(C(C)C)c(O)c1OC1OC(CO)C(O)C(O)C1O,Monoterpenoids,0.027,45.0,0.166667,Aerial parts,Rubiaceae,Cruciata taurica,"Nat Prod Res, 2003, 17, 109-113.",10.1080/1478641031000103687,MP00020
