ID,Name,CAS Number,Standard_Smiles,Type,Total weight /kg,Piece weight /mg,Content(%),Part,Family,Specie,Reference,DOI,ContentID,Scaffold_Smiles
TPCN02189,12-epi-napelline,'110064-71-6',C=C1C2CC3(C1O)C1CC4C5(C)CCC(O)C4(C1N(CC)C5)C3CC2O,Diterpenoids,13.0,19.0,0.000146,Roots,Ranunculaceae,Aconitum brachypodum,"J Asian Nat Prod Res 18, 908-912 (2016).",10.1080/10286020.2016.1173677,DP00008,C=C1CC23CC1CCC2C12CCCC4CNC1C3CC42
TPCN02199,Isotatizidine,'7633-68-3',CCN1CC2(COC)CCC(O)C34C5CC6C(OC)CC(O)(C(CC23)C14)C5C6O,Diterpenoids,5.0,19.0,0.00038,Roots,Ranunculaceae,Aconitum hemsleyanum,"Nat Prod Res, 1-6 (2019).",10.1080/14786419.2018.1560292,DP00023,C1CC2CNC3C4CC2C3(C1)C1CC2CCC4C1C2
TPCN02205,Napelline,'5008-52-6',C=C1C2CC3(C1O)C1CC4C5(C)CCC(O)C4(C1N(CC)C5)C3CC2O,Diterpenoids,20.0,70.0,0.00035,Roots,Ranunculaceae,Aconitum nagarum,Planta Med 2005; 71: 1073±1076,10.1055/s-2005-873135,DP00033,C=C1CC23CC1CCC2C12CCCC4CNC1C3CC42
TPCN02228,"16β,17dihydroxy-ent-kauran-19-oic acid",'3301-61-9',CC1(C(=O)O)CCCC2(C)C3CCC4CC3(CCC12)CC4(O)CO,Diterpenoids,50.0,93.0,0.000186,Stems,Theaceae,Eurya chinensis,"Nat Prod Res 32, 182-188 (2018).",10.1080/14786419.2017.1343327,DP00062,C1CCC2C(C1)CCC13CCC(CCC21)C3
TPCN02236,Delsemine A,'66878-11-3',CCN1CC2(COC(=O)c3ccccc3NC(=O)C(C)CC(N)=O)CCC(OC)C34C5CC6C(OC)CC(O)(C5C6OC)C(O)(C(OC)C23)C14,Diterpenoids,10.0,25.0,0.00025,Aerial parts,Ranunculaceae,Delphinium chrysotrichum,"Fitoterapia 139, 104407 (2019).",10.1016/j.fitote.2019.104407,DP00071,O=C(OCC12CCCC34C5CC6CCC(C5C6)C(CC13)C4NC2)c1ccccc1
TPCN02247,Songorine,'509-24-0',C=C1C2CC3(C1O)C1CC4C5(C)CCC(O)C4(C1N(CC)C5)C3CC2=O,Diterpenoids,0.0574,0.35,0.00061,Aerial parts,Ranunculaceae,Aconitum napellus,"J Nat Prod 62, 701-704 (1999).",10.1021/np980442c,DP00086,C=C1CC23CC1C(=O)CC2C12CCCC4CNC1C3CC42
TPCN02267,Talatisamine,'20501-56-8',CCN1CC2(COC)CCC(OC)C34C5CC6C(OC)CC(O)(C(CC23)C14)C5C6O,Diterpenoids,5.0,13.0,0.00026,Roots,Ranunculaceae,Aconitum hemsleyanum,"Nat Prod Res, 1-6 (2019).",10.1080/14786419.2018.1560292,DP00116,C1CC2CNC3C4CC2C3(C1)C1CC2CCC4C1C2
TPCN02288,Oridonin,'28957-04-2',C=C1C(=O)C23C(O)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,Diterpenoids,20.0,20.0,0.0001,Aerial parts,Lamiaceae,Isodon henryi,"Nat Prod Res, 1-7 (2019).",10.1080/14786419.2019.1675067,DP00143,C=C1C(=O)C23CC1CCC2C12CCCCC1CC3OC2
TPCN02289,Virescenine,'71609-78-4',CCN1CC2(COC)CCC(O)C34C5CC6C(OC)CC(O)(C5C6O)C(O)(CC23)C14,Diterpenoids,1.0,4.6,0.00046,Aerial parts,Ranunculaceae,Aconitum orochryseum,"J Nat Prod 70, 1808-1811 (2007).",10.1021/np070266k,DP00146,C1CC2CNC3C4CC2C3(C1)C1CC2CCC4C1C2
TPCN02294,12-epi-dehydronapelline,'116197-11-6',C=C1C2CC3(C1O)C1CC4C5(C)CCC6OC5N(CC)C1C64C3CC2O,Diterpenoids,20.0,20.0,0.0001,Roots,Ranunculaceae,Aconitum nagarum,Planta Med 2005; 71: 1073±1076,10.1055/s-2005-873135,DP00151,C=C1CC23CC1CCC2C12C4CCC5C(NC1C3CC52)O4
